,full_title,title_shown,book_url,rating,price,availability
14,A Murder in Time,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,One,£16.64,In stock
15,The Murder of Roger Ackroyd (Hercule Poirot #4),The Murder of Roger ...,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Four,£44.10,In stock
16,The Last Mile (Amos Decker #2),The Last Mile (Amos ...,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Two,£54.21,In stock
17,That Darkness (Gardiner and Renner #1),That Darkness (Gardiner and ...,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,One,£13.92,In stock
18,Tastes Like Fear (DI Marnie Rome #3),Tastes Like Fear (DI ...,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,One,£10.69,In stock
19,A Time of Torment (Charlie Parker #14),A Time of Torment ...,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Five,£48.35,In stock
20,A Study in Scarlet (Sherlock Holmes #1),A Study in Scarlet ...,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Two,£16.73,In stock
21,Poisonous (Max Revere Novels #3),Poisonous (Max Revere Novels ...,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Three,£26.80,In stock
22,Murder at the 42nd Street Library (Raymond Ambler #1),Murder at the 42nd ...,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Four,£54.36,In stock
23,Most Wanted,Most Wanted,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Three,£35.28,In stock
24,Hide Away (Eve Duncan #20),Hide Away (Eve Duncan ...,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,One,£11.84,In stock
25,Boar Island (Anna Pigeon #19),Boar Island (Anna Pigeon ...,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Three,£59.48,In stock
26,The Widow,The Widow,https://books.toscrape.com/catalogue/the-widow_609/index.html,Two,£27.26,In stock
27,Playing with Fire,Playing with Fire,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Three,£13.71,In stock
28,What Happened on Beale Street (Secrets of the South Mysteries #2),What Happened on Beale ...,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Five,£25.37,In stock
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),The Bachelor Girl's Guide ...,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Five,£52.30,In stock
30,Delivering the Truth (Quaker Midwife Mystery #1),Delivering the Truth (Quaker ...,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Four,£20.89,In stock
31,Tipping the Velvet,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,£53.74,In stock
32,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Forever and Forever: The ...,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Three,£29.69,In stock
33,A Flight of Arrows (The Pathfinders #2),A Flight of Arrows ...,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Five,£55.53,In stock
34,The House by the Lake,The House by the ...,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,One,£36.95,In stock
35,Mrs. Houdini,Mrs. Houdini,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Five,£30.25,In stock
36,The Marriage of Opposites,The Marriage of Opposites,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,Four,£28.08,In stock
37,Glory over Everything: Beyond The Kitchen House,Glory over Everything: Beyond ...,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,Three,£45.84,In stock
38,"Love, Lies and Spies","Love, Lies and Spies",https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,Two,£20.55,In stock
39,A Paris Apartment,A Paris Apartment,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,Four,£39.01,In stock
40,Lilac Girls,Lilac Girls,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,Two,£17.28,In stock
41,The Constant Princess (The Tudor Court #1),The Constant Princess (The ...,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,Three,£16.62,In stock
42,The Invention of Wings,The Invention of Wings,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,One,£37.34,In stock
43,World Without End (The Pillars of the Earth #2),World Without End (The ...,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,Four,£32.97,In stock
44,The Passion of Dolssa,The Passion of Dolssa,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,Five,£28.32,In stock
45,Girl With a Pearl Earring,Girl With a Pearl ...,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,One,£26.77,In stock
46,Voyager (Outlander #3),Voyager (Outlander #3),https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,Five,£21.07,In stock
47,The Red Tent,The Red Tent,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,Five,£35.66,In stock
48,The Last Painting of Sara de Vos,The Last Painting of ...,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,Two,£55.55,In stock
49,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and ...,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,One,£49.53,In stock
50,Girl in the Blue Coat,Girl in the Blue ...,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Two,£46.83,In stock
51,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),Scott Pilgrim's Precious Little ...,https://books.toscrape.com/catalogue/scott-pilgrims-precious-little-life-scott-pilgrim-1_987/index.html,Five,£52.29,In stock
52,Tsubasa: WoRLD CHRoNiCLE 2 (Tsubasa WoRLD CHRoNiCLE #2),Tsubasa: WoRLD CHRoNiCLE 2 ...,https://books.toscrape.com/catalogue/tsubasa-world-chronicle-2-tsubasa-world-chronicle-2_949/index.html,One,£16.28,In stock
53,This One Summer,This One Summer,https://books.toscrape.com/catalogue/this-one-summer_947/index.html,Four,£19.49,In stock
54,The Nameless City (The Nameless City #1),The Nameless City (The ...,https://books.toscrape.com/catalogue/the-nameless-city-the-nameless-city-1_940/index.html,Four,£38.16,In stock
55,"Saga, Volume 5 (Saga (Collected Editions) #5)","Saga, Volume 5 (Saga ...",https://books.toscrape.com/catalogue/saga-volume-5-saga-collected-editions-5_923/index.html,Two,£51.04,In stock
56,"Rat Queens, Vol. 3: Demons (Rat Queens (Collected Editions) #11-15)","Rat Queens, Vol. 3: ...",https://books.toscrape.com/catalogue/rat-queens-vol-3-demons-rat-queens-collected-editions-11-15_921/index.html,Three,£50.40,In stock
57,"Princess Jellyfish 2-in-1 Omnibus, Vol. 01 (Princess Jellyfish 2-in-1 Omnibus #1)","Princess Jellyfish 2-in-1 Omnibus, ...",https://books.toscrape.com/catalogue/princess-jellyfish-2-in-1-omnibus-vol-01-princess-jellyfish-2-in-1-omnibus-1_920/index.html,Five,£13.61,In stock
58,"Pop Gun War, Volume 1: Gift","Pop Gun War, Volume ...",https://books.toscrape.com/catalogue/pop-gun-war-volume-1-gift_918/index.html,One,£18.97,In stock
59,Patience,Patience,https://books.toscrape.com/catalogue/patience_916/index.html,Three,£10.16,In stock
60,"Outcast, Vol. 1: A Darkness Surrounds Him (Outcast #1)","Outcast, Vol. 1: A ...",https://books.toscrape.com/catalogue/outcast-vol-1-a-darkness-surrounds-him-outcast-1_915/index.html,Four,£15.44,In stock
61,orange: The Complete Collection 1 (orange: The Complete Collection #1),orange: The Complete Collection ...,https://books.toscrape.com/catalogue/orange-the-complete-collection-1-orange-the-complete-collection-1_914/index.html,One,£48.41,In stock
62,"Lumberjanes, Vol. 2: Friendship to the Max (Lumberjanes #5-8)","Lumberjanes, Vol. 2: Friendship ...",https://books.toscrape.com/catalogue/lumberjanes-vol-2-friendship-to-the-max-lumberjanes-5-8_907/index.html,Two,£46.91,In stock
63,"Lumberjanes, Vol. 1: Beware the Kitten Holy (Lumberjanes #1-4)","Lumberjanes, Vol. 1: Beware ...",https://books.toscrape.com/catalogue/lumberjanes-vol-1-beware-the-kitten-holy-lumberjanes-1-4_906/index.html,Three,£45.61,In stock
64,Lumberjanes Vol. 3: A Terrible Plan (Lumberjanes #9-12),Lumberjanes Vol. 3: A ...,https://books.toscrape.com/catalogue/lumberjanes-vol-3-a-terrible-plan-lumberjanes-9-12_905/index.html,Two,£19.92,In stock
65,"I Hate Fairyland, Vol. 1: Madly Ever After (I Hate Fairyland (Compilations) #1-5)","I Hate Fairyland, Vol. ...",https://books.toscrape.com/catalogue/i-hate-fairyland-vol-1-madly-ever-after-i-hate-fairyland-compilations-1-5_899/index.html,Two,£29.17,In stock
66,I am a Hero Omnibus Volume 1,I am a Hero ...,https://books.toscrape.com/catalogue/i-am-a-hero-omnibus-volume-1_898/index.html,Three,£54.63,In stock
67,"Giant Days, Vol. 2 (Giant Days #5-8)","Giant Days, Vol. 2 ...",https://books.toscrape.com/catalogue/giant-days-vol-2-giant-days-5-8_895/index.html,Two,£22.11,In stock
68,Danganronpa Volume 1,Danganronpa Volume 1,https://books.toscrape.com/catalogue/danganronpa-volume-1_889/index.html,Four,£51.99,In stock
69,"Codename Baboushka, Volume 1: The Conclave of Death","Codename Baboushka, Volume 1: ...",https://books.toscrape.com/catalogue/codename-baboushka-volume-1-the-conclave-of-death_887/index.html,Four,£36.72,In stock
70,Camp Midnight,Camp Midnight,https://books.toscrape.com/catalogue/camp-midnight_886/index.html,Four,£17.08,In stock
71,The Secret Garden,The Secret Garden,https://books.toscrape.com/catalogue/the-secret-garden_413/index.html,Four,£15.08,In stock
72,The Metamorphosis,The Metamorphosis,https://books.toscrape.com/catalogue/the-metamorphosis_409/index.html,One,£28.58,In stock
73,The Pilgrim's Progress,The Pilgrim's Progress,https://books.toscrape.com/catalogue/the-pilgrims-progress_353/index.html,Two,£50.26,In stock
74,The Hound of the Baskervilles (Sherlock Holmes #5),The Hound of the ...,https://books.toscrape.com/catalogue/the-hound-of-the-baskervilles-sherlock-holmes-5_348/index.html,Two,£14.82,In stock
75,Little Women (Little Women #1),Little Women (Little Women ...,https://books.toscrape.com/catalogue/little-women-little-women-1_331/index.html,Four,£28.07,In stock
76,Gone with the Wind,Gone with the Wind,https://books.toscrape.com/catalogue/gone-with-the-wind_324/index.html,Three,£32.49,In stock
77,Candide,Candide,https://books.toscrape.com/catalogue/candide_316/index.html,Three,£58.63,In stock
78,Animal Farm,Animal Farm,https://books.toscrape.com/catalogue/animal-farm_313/index.html,Three,£57.22,In stock
79,Wuthering Heights,Wuthering Heights,https://books.toscrape.com/catalogue/wuthering-heights_307/index.html,Three,£17.73,In stock
80,The Picture of Dorian Gray,The Picture of Dorian ...,https://books.toscrape.com/catalogue/the-picture-of-dorian-gray_270/index.html,Two,£29.70,In stock
81,The Complete Stories and Poems (The Works of Edgar Allan Poe [Cameo Edition]),The Complete Stories and ...,https://books.toscrape.com/catalogue/the-complete-stories-and-poems-the-works-of-edgar-allan-poe-cameo-edition_238/index.html,Four,£26.78,In stock
82,Beowulf,Beowulf,https://books.toscrape.com/catalogue/beowulf_126/index.html,Two,£38.35,In stock
83,And Then There Were None,And Then There Were ...,https://books.toscrape.com/catalogue/and-then-there-were-none_119/index.html,Two,£35.01,In stock
84,The Story of Hong Gildong,The Story of Hong ...,https://books.toscrape.com/catalogue/the-story-of-hong-gildong_84/index.html,Four,£43.19,In stock
85,The Little Prince,The Little Prince,https://books.toscrape.com/catalogue/the-little-prince_72/index.html,Two,£45.42,In stock
86,Sense and Sensibility,Sense and Sensibility,https://books.toscrape.com/catalogue/sense-and-sensibility_49/index.html,One,£37.46,In stock
87,Of Mice and Men,Of Mice and Men,https://books.toscrape.com/catalogue/of-mice-and-men_37/index.html,Two,£47.11,In stock
88,Emma,Emma,https://books.toscrape.com/catalogue/emma_17/index.html,Two,£32.93,In stock
89,Alice in Wonderland (Alice's Adventures in Wonderland #1),Alice in Wonderland (Alice's ...,https://books.toscrape.com/catalogue/alice-in-wonderland-alices-adventures-in-wonderland-1_5/index.html,One,£55.53,In stock
90,Sophie's World,Sophie's World,https://books.toscrape.com/catalogue/sophies-world_966/index.html,Five,£15.94,In stock
91,The Death of Humanity: and the Case for Life,The Death of Humanity: ...,https://books.toscrape.com/catalogue/the-death-of-humanity-and-the-case-for-life_932/index.html,Four,£58.11,In stock
92,The Stranger,The Stranger,https://books.toscrape.com/catalogue/the-stranger_861/index.html,Four,£17.44,In stock
93,Proofs of God: Classical Arguments from Tertullian to Barth,Proofs of God: Classical ...,https://books.toscrape.com/catalogue/proofs-of-god-classical-arguments-from-tertullian-to-barth_538/index.html,One,£54.21,In stock
94,Kierkegaard: A Christian Missionary to Christians,Kierkegaard: A Christian Missionary ...,https://books.toscrape.com/catalogue/kierkegaard-a-christian-missionary-to-christians_527/index.html,One,£47.13,In stock
95,"At The Existentialist CafÃ©: Freedom, Being, and apricot cocktails with: Jean-Paul Sartre, Simone de Beauvoir, Albert Camus, Martin Heidegger, Edmund Husserl, Karl Jaspers, Maurice Merleau-Ponty and others",At The Existentialist CafÃ©: ...,https://books.toscrape.com/catalogue/at-the-existentialist-cafe-freedom-being-and-apricot-cocktails-with-jean-paul-sartre-simone-de-beauvoir-albert-camus-martin-heidegger-edmund-husserl-karl-jaspers-maurice-merleau-ponty-and-others_459/index.html,Five,£29.93,In stock
96,Critique of Pure Reason,Critique of Pure Reason,https://books.toscrape.com/catalogue/critique-of-pure-reason_366/index.html,One,£20.75,In stock
97,"Run, Spot, Run: The Ethics of Keeping Pets","Run, Spot, Run: The ...",https://books.toscrape.com/catalogue/run-spot-run-the-ethics-of-keeping-pets_106/index.html,One,£20.02,In stock
98,The Nicomachean Ethics,The Nicomachean Ethics,https://books.toscrape.com/catalogue/the-nicomachean-ethics_75/index.html,One,£36.34,In stock
99,Meditations,Meditations,https://books.toscrape.com/catalogue/meditations_33/index.html,Two,£25.89,In stock
100,Beyond Good and Evil,Beyond Good and Evil,https://books.toscrape.com/catalogue/beyond-good-and-evil_6/index.html,One,£43.38,In stock
101,Chase Me (Paris Nights #2),Chase Me (Paris Nights ...,https://books.toscrape.com/catalogue/chase-me-paris-nights-2_977/index.html,Five,£25.27,In stock
102,Black Dust,Black Dust,https://books.toscrape.com/catalogue/black-dust_976/index.html,Five,£34.53,In stock
103,Her Backup Boyfriend (The Sorensen Family #1),Her Backup Boyfriend (The ...,https://books.toscrape.com/catalogue/her-backup-boyfriend-the-sorensen-family-1_896/index.html,One,£33.97,In stock
104,First and First (Five Boroughs #3),First and First (Five ...,https://books.toscrape.com/catalogue/first-and-first-five-boroughs-3_893/index.html,Four,£15.97,In stock
105,Fifty Shades Darker (Fifty Shades #2),Fifty Shades Darker (Fifty ...,https://books.toscrape.com/catalogue/fifty-shades-darker-fifty-shades-2_892/index.html,One,£21.96,In stock
106,The Wedding Dress,The Wedding Dress,https://books.toscrape.com/catalogue/the-wedding-dress_864/index.html,One,£24.12,In stock
107,Suddenly in Love (Lake Haven #1),Suddenly in Love (Lake ...,https://books.toscrape.com/catalogue/suddenly-in-love-lake-haven-1_835/index.html,Two,£55.99,In stock
108,Something More Than This,Something More Than This,https://books.toscrape.com/catalogue/something-more-than-this_834/index.html,Four,£16.24,In stock
109,Doing It Over (Most Likely To #1),Doing It Over (Most ...,https://books.toscrape.com/catalogue/doing-it-over-most-likely-to-1_802/index.html,Three,£35.61,In stock
110,The Wedding Pact (The O'Malleys #2),The Wedding Pact (The ...,https://books.toscrape.com/catalogue/the-wedding-pact-the-omalleys-2_767/index.html,Three,£32.61,In stock
111,Hold Your Breath (Search and Rescue #1),Hold Your Breath (Search ...,https://books.toscrape.com/catalogue/hold-your-breath-search-and-rescue-1_700/index.html,One,£28.82,In stock
112,Dirty (Dive Bar #1),Dirty (Dive Bar #1),https://books.toscrape.com/catalogue/dirty-dive-bar-1_615/index.html,Four,£40.83,In stock
113,Take Me Home Tonight (Rock Star Romance #3),Take Me Home Tonight ...,https://books.toscrape.com/catalogue/take-me-home-tonight-rock-star-romance-3_605/index.html,Three,£53.98,In stock
114,Off the Hook (Fishing for Trouble #1),Off the Hook (Fishing ...,https://books.toscrape.com/catalogue/off-the-hook-fishing-for-trouble-1_601/index.html,Three,£47.67,In stock
115,A Gentleman's Position (Society of Gentlemen #3),A Gentleman's Position (Society ...,https://books.toscrape.com/catalogue/a-gentlemans-position-society-of-gentlemen-3_584/index.html,Five,£14.75,In stock
116,"Sit, Stay, Love","Sit, Stay, Love",https://books.toscrape.com/catalogue/sit-stay-love_486/index.html,Three,£20.90,In stock
117,A Girl's Guide to Moving On (New Beginnings #2),A Girl's Guide to ...,https://books.toscrape.com/catalogue/a-girls-guide-to-moving-on-new-beginnings-2_359/index.html,One,£31.30,In stock
118,The Perfect Play (Play by Play #1),The Perfect Play (Play ...,https://books.toscrape.com/catalogue/the-perfect-play-play-by-play-1_352/index.html,Three,£59.99,In stock
119,Dark Lover (Black Dagger Brotherhood #1),Dark Lover (Black Dagger ...,https://books.toscrape.com/catalogue/dark-lover-black-dagger-brotherhood-1_319/index.html,One,£12.87,In stock
120,Changing the Game (Play by Play #2),Changing the Game (Play ...,https://books.toscrape.com/catalogue/changing-the-game-play-by-play-2_317/index.html,Three,£13.38,In stock
121,I Had a Nice Time And Other Lies...: How to find love & sh*t like that,I Had a Nice ...,https://books.toscrape.com/catalogue/i-had-a-nice-time-and-other-lies-how-to-find-love-sht-like-that_814/index.html,Four,£57.36,In stock
122,Will You Won't You Want Me?,Will You Won't You ...,https://books.toscrape.com/catalogue/will-you-wont-you-want-me_644/index.html,Three,£13.86,In stock
123,Keep Me Posted,Keep Me Posted,https://books.toscrape.com/catalogue/keep-me-posted_594/index.html,Four,£20.46,In stock
124,Grey (Fifty Shades #4),Grey (Fifty Shades #4),https://books.toscrape.com/catalogue/grey-fifty-shades-4_592/index.html,Four,£48.49,In stock
125,Meternity,Meternity,https://books.toscrape.com/catalogue/meternity_478/index.html,Three,£43.58,In stock
126,Some Women,Some Women,https://books.toscrape.com/catalogue/some-women_341/index.html,Five,£13.73,In stock
127,Shopaholic Ties the Knot (Shopaholic #3),Shopaholic Ties the Knot ...,https://books.toscrape.com/catalogue/shopaholic-ties-the-knot-shopaholic-3_340/index.html,Five,£48.39,In stock
128,Can You Keep a Secret?,Can You Keep a ...,https://books.toscrape.com/catalogue/can-you-keep-a-secret_315/index.html,One,£21.94,In stock
129,Twenties Girl,Twenties Girl,https://books.toscrape.com/catalogue/twenties-girl_292/index.html,Two,£42.80,In stock
130,The Undomestic Goddess,The Undomestic Goddess,https://books.toscrape.com/catalogue/the-undomestic-goddess_286/index.html,Four,£45.75,In stock
131,The Nanny Diaries (Nanny #1),The Nanny Diaries (Nanny ...,https://books.toscrape.com/catalogue/the-nanny-diaries-nanny-1_265/index.html,Five,£52.53,In stock
132,The Devil Wears Prada (The Devil Wears Prada #1),The Devil Wears Prada ...,https://books.toscrape.com/catalogue/the-devil-wears-prada-the-devil-wears-prada-1_243/index.html,One,£44.29,In stock
133,Something Borrowed (Darcy & Rachel #1),Something Borrowed (Darcy & ...,https://books.toscrape.com/catalogue/something-borrowed-darcy-rachel-1_224/index.html,Five,£48.96,In stock
134,Something Blue (Darcy & Rachel #2),Something Blue (Darcy & ...,https://books.toscrape.com/catalogue/something-blue-darcy-rachel-2_223/index.html,One,£54.62,In stock
135,I've Got Your Number,I've Got Your Number,https://books.toscrape.com/catalogue/ive-got-your-number_173/index.html,One,£19.69,In stock
136,The Edge of Reason (Bridget Jones #2),The Edge of Reason ...,https://books.toscrape.com/catalogue/the-edge-of-reason-bridget-jones-2_63/index.html,Four,£19.18,In stock
137,Bridget Jones's Diary (Bridget Jones #1),Bridget Jones's Diary (Bridget ...,https://books.toscrape.com/catalogue/bridget-joness-diary-bridget-jones-1_10/index.html,One,£29.82,In stock
138,Soumission,Soumission,https://books.toscrape.com/catalogue/soumission_998/index.html,One,£50.10,In stock
139,Private Paris (Private #10),Private Paris (Private #10),https://books.toscrape.com/catalogue/private-paris-private-10_958/index.html,Five,£47.61,In stock
140,"We Love You, Charlie Freeman","We Love You, Charlie ...",https://books.toscrape.com/catalogue/we-love-you-charlie-freeman_954/index.html,Five,£50.27,In stock
141,Thirst,Thirst,https://books.toscrape.com/catalogue/thirst_946/index.html,Five,£17.27,In stock
142,The Murder That Never Was (Forensic Instincts #5),The Murder That Never ...,https://books.toscrape.com/catalogue/the-murder-that-never-was-forensic-instincts-5_939/index.html,Three,£54.11,In stock
143,Tuesday Nights in 1980,Tuesday Nights in 1980,https://books.toscrape.com/catalogue/tuesday-nights-in-1980_870/index.html,Two,£21.04,In stock
144,The Vacationers,The Vacationers,https://books.toscrape.com/catalogue/the-vacationers_863/index.html,Four,£42.15,In stock
145,The Regional Office Is Under Attack!,The Regional Office Is ...,https://books.toscrape.com/catalogue/the-regional-office-is-under-attack_858/index.html,Five,£51.36,In stock
146,Finders Keepers (Bill Hodges Trilogy #2),Finders Keepers (Bill Hodges ...,https://books.toscrape.com/catalogue/finders-keepers-bill-hodges-trilogy-2_807/index.html,Five,£53.53,In stock
147,The Time Keeper,The Time Keeper,https://books.toscrape.com/catalogue/the-time-keeper_766/index.html,Five,£27.88,In stock
148,The Testament of Mary,The Testament of Mary,https://books.toscrape.com/catalogue/the-testament-of-mary_765/index.html,Four,£52.67,In stock
149,The First Hostage (J.B. Collins #2),The First Hostage (J.B. ...,https://books.toscrape.com/catalogue/the-first-hostage-jb-collins-2_749/index.html,Three,£25.85,In stock
150,Take Me with You,Take Me with You,https://books.toscrape.com/catalogue/take-me-with-you_741/index.html,Three,£45.21,In stock
151,Still Life with Bread Crumbs,Still Life with Bread ...,https://books.toscrape.com/catalogue/still-life-with-bread-crumbs_738/index.html,Three,£26.41,In stock
152,Shtum,Shtum,https://books.toscrape.com/catalogue/shtum_733/index.html,Four,£55.84,In stock
153,My Name Is Lucy Barton,My Name Is Lucy ...,https://books.toscrape.com/catalogue/my-name-is-lucy-barton_720/index.html,One,£41.56,In stock
154,My Mrs. Brown,My Mrs. Brown,https://books.toscrape.com/catalogue/my-mrs-brown_719/index.html,Three,£24.48,In stock
155,Mr. Mercedes (Bill Hodges Trilogy #1),Mr. Mercedes (Bill Hodges ...,https://books.toscrape.com/catalogue/mr-mercedes-bill-hodges-trilogy-1_717/index.html,One,£28.90,In stock
156,I Am Pilgrim (Pilgrim #1),I Am Pilgrim (Pilgrim ...,https://books.toscrape.com/catalogue/i-am-pilgrim-pilgrim-1_703/index.html,Four,£10.60,In stock
157,Eligible (The Austen Project #4),Eligible (The Austen Project ...,https://books.toscrape.com/catalogue/eligible-the-austen-project-4_692/index.html,Three,£27.09,In stock
158,Birdsong: A Story in Pictures,Birdsong: A Story in ...,https://books.toscrape.com/catalogue/birdsong-a-story-in-pictures_975/index.html,Three,£54.64,In stock
159,The Bear and the Piano,The Bear and the ...,https://books.toscrape.com/catalogue/the-bear-and-the-piano_967/index.html,One,£36.89,In stock
160,The Secret of Dreadwillow Carse,The Secret of Dreadwillow ...,https://books.toscrape.com/catalogue/the-secret-of-dreadwillow-carse_944/index.html,One,£56.13,In stock
161,The White Cat and the Monk: A Retelling of the Poem âPangur BÃ¡nâ,The White Cat and ...,https://books.toscrape.com/catalogue/the-white-cat-and-the-monk-a-retelling-of-the-poem-pangur-ban_865/index.html,Four,£58.08,In stock
162,Little Red,Little Red,https://books.toscrape.com/catalogue/little-red_817/index.html,Three,£13.47,In stock
163,Walt Disney's Alice in Wonderland,Walt Disney's Alice in ...,https://books.toscrape.com/catalogue/walt-disneys-alice-in-wonderland_777/index.html,Five,£12.96,In stock
164,Twenty Yawns,Twenty Yawns,https://books.toscrape.com/catalogue/twenty-yawns_773/index.html,Two,£22.08,In stock
165,Rain Fish,Rain Fish,https://books.toscrape.com/catalogue/rain-fish_728/index.html,Three,£23.57,In stock
166,Once Was a Time,Once Was a Time,https://books.toscrape.com/catalogue/once-was-a-time_724/index.html,Two,£18.28,In stock
167,Luis Paints the World,Luis Paints the World,https://books.toscrape.com/catalogue/luis-paints-the-world_714/index.html,Three,£53.95,In stock
168,Nap-a-Roo,Nap-a-Roo,https://books.toscrape.com/catalogue/nap-a-roo_567/index.html,One,£25.08,In stock
169,The Whale,The Whale,https://books.toscrape.com/catalogue/the-whale_501/index.html,Four,£35.96,In stock
170,"Shrunken Treasures: Literary Classics, Short, Sweet, and Silly","Shrunken Treasures: Literary Classics, ...",https://books.toscrape.com/catalogue/shrunken-treasures-literary-classics-short-sweet-and-silly_484/index.html,Three,£52.87,In stock
171,Raymie Nightingale,Raymie Nightingale,https://books.toscrape.com/catalogue/raymie-nightingale_482/index.html,Two,£34.41,In stock
172,Playing from the Heart,Playing from the Heart,https://books.toscrape.com/catalogue/playing-from-the-heart_481/index.html,One,£32.38,In stock
