,full_title,title_shown,book_url,rating,price,availability
14,A Murder in Time,A Murder in Time,https://books.toscrape.com/catalogue/a-murder-in-time_877/index.html,One,£16.64,In stock
15,The Murder of Roger Ackroyd (Hercule Poirot #4),The Murder of Roger ...,https://books.toscrape.com/catalogue/the-murder-of-roger-ackroyd-hercule-poirot-4_852/index.html,Four,£44.10,In stock
16,The Last Mile (Amos Decker #2),The Last Mile (Amos ...,https://books.toscrape.com/catalogue/the-last-mile-amos-decker-2_754/index.html,Two,£54.21,In stock
17,That Darkness (Gardiner and Renner #1),That Darkness (Gardiner and ...,https://books.toscrape.com/catalogue/that-darkness-gardiner-and-renner-1_743/index.html,One,£13.92,In stock
18,Tastes Like Fear (DI Marnie Rome #3),Tastes Like Fear (DI ...,https://books.toscrape.com/catalogue/tastes-like-fear-di-marnie-rome-3_742/index.html,One,£10.69,In stock
19,A Time of Torment (Charlie Parker #14),A Time of Torment ...,https://books.toscrape.com/catalogue/a-time-of-torment-charlie-parker-14_657/index.html,Five,£48.35,In stock
20,A Study in Scarlet (Sherlock Holmes #1),A Study in Scarlet ...,https://books.toscrape.com/catalogue/a-study-in-scarlet-sherlock-holmes-1_656/index.html,Two,£16.73,In stock
21,Poisonous (Max Revere Novels #3),Poisonous (Max Revere Novels ...,https://books.toscrape.com/catalogue/poisonous-max-revere-novels-3_627/index.html,Three,£26.80,In stock
22,Murder at the 42nd Street Library (Raymond Ambler #1),Murder at the 42nd ...,https://books.toscrape.com/catalogue/murder-at-the-42nd-street-library-raymond-ambler-1_624/index.html,Four,£54.36,In stock
23,Most Wanted,Most Wanted,https://books.toscrape.com/catalogue/most-wanted_623/index.html,Three,£35.28,In stock
24,Hide Away (Eve Duncan #20),Hide Away (Eve Duncan ...,https://books.toscrape.com/catalogue/hide-away-eve-duncan-20_620/index.html,One,£11.84,In stock
25,Boar Island (Anna Pigeon #19),Boar Island (Anna Pigeon ...,https://books.toscrape.com/catalogue/boar-island-anna-pigeon-19_613/index.html,Three,£59.48,In stock
26,The Widow,The Widow,https://books.toscrape.com/catalogue/the-widow_609/index.html,Two,£27.26,In stock
27,Playing with Fire,Playing with Fire,https://books.toscrape.com/catalogue/playing-with-fire_602/index.html,Three,£13.71,In stock
28,What Happened on Beale Street (Secrets of the South Mysteries #2),What Happened on Beale ...,https://books.toscrape.com/catalogue/what-happened-on-beale-street-secrets-of-the-south-mysteries-2_506/index.html,Five,£25.37,In stock
29,The Bachelor Girl's Guide to Murder (Herringford and Watts Mysteries #1),The Bachelor Girl's Guide ...,https://books.toscrape.com/catalogue/the-bachelor-girls-guide-to-murder-herringford-and-watts-mysteries-1_491/index.html,Five,£52.30,In stock
30,Delivering the Truth (Quaker Midwife Mystery #1),Delivering the Truth (Quaker ...,https://books.toscrape.com/catalogue/delivering-the-truth-quaker-midwife-mystery-1_464/index.html,Four,£20.89,In stock
31,Tipping the Velvet,Tipping the Velvet,https://books.toscrape.com/catalogue/tipping-the-velvet_999/index.html,One,£53.74,In stock
32,Forever and Forever: The Courtship of Henry Longfellow and Fanny Appleton,Forever and Forever: The ...,https://books.toscrape.com/catalogue/forever-and-forever-the-courtship-of-henry-longfellow-and-fanny-appleton_894/index.html,Three,£29.69,In stock
33,A Flight of Arrows (The Pathfinders #2),A Flight of Arrows ...,https://books.toscrape.com/catalogue/a-flight-of-arrows-the-pathfinders-2_876/index.html,Five,£55.53,In stock
34,The House by the Lake,The House by the ...,https://books.toscrape.com/catalogue/the-house-by-the-lake_846/index.html,One,£36.95,In stock
35,Mrs. Houdini,Mrs. Houdini,https://books.toscrape.com/catalogue/mrs-houdini_821/index.html,Five,£30.25,In stock
36,The Marriage of Opposites,The Marriage of Opposites,https://books.toscrape.com/catalogue/the-marriage-of-opposites_759/index.html,Four,£28.08,In stock
37,Glory over Everything: Beyond The Kitchen House,Glory over Everything: Beyond ...,https://books.toscrape.com/catalogue/glory-over-everything-beyond-the-kitchen-house_696/index.html,Three,£45.84,In stock
38,"Love, Lies and Spies","Love, Lies and Spies",https://books.toscrape.com/catalogue/love-lies-and-spies_622/index.html,Two,£20.55,In stock
39,A Paris Apartment,A Paris Apartment,https://books.toscrape.com/catalogue/a-paris-apartment_612/index.html,Four,£39.01,In stock
40,Lilac Girls,Lilac Girls,https://books.toscrape.com/catalogue/lilac-girls_597/index.html,Two,£17.28,In stock
41,The Constant Princess (The Tudor Court #1),The Constant Princess (The ...,https://books.toscrape.com/catalogue/the-constant-princess-the-tudor-court-1_493/index.html,Three,£16.62,In stock
42,The Invention of Wings,The Invention of Wings,https://books.toscrape.com/catalogue/the-invention-of-wings_448/index.html,One,£37.34,In stock
43,World Without End (The Pillars of the Earth #2),World Without End (The ...,https://books.toscrape.com/catalogue/world-without-end-the-pillars-of-the-earth-2_420/index.html,Four,£32.97,In stock
44,The Passion of Dolssa,The Passion of Dolssa,https://books.toscrape.com/catalogue/the-passion-of-dolssa_351/index.html,Five,£28.32,In stock
45,Girl With a Pearl Earring,Girl With a Pearl ...,https://books.toscrape.com/catalogue/girl-with-a-pearl-earring_322/index.html,One,£26.77,In stock
46,Voyager (Outlander #3),Voyager (Outlander #3),https://books.toscrape.com/catalogue/voyager-outlander-3_299/index.html,Five,£21.07,In stock
47,The Red Tent,The Red Tent,https://books.toscrape.com/catalogue/the-red-tent_273/index.html,Five,£35.66,In stock
48,The Last Painting of Sara de Vos,The Last Painting of ...,https://books.toscrape.com/catalogue/the-last-painting-of-sara-de-vos_259/index.html,Two,£55.55,In stock
49,The Guernsey Literary and Potato Peel Pie Society,The Guernsey Literary and ...,https://books.toscrape.com/catalogue/the-guernsey-literary-and-potato-peel-pie-society_253/index.html,One,£49.53,In stock
50,Girl in the Blue Coat,Girl in the Blue ...,https://books.toscrape.com/catalogue/girl-in-the-blue-coat_160/index.html,Two,£46.83,In stock
